"","nume","pret_aug","nomenclator","pret_sept","nume_sept","scor_aug_sept","pret_oct","nume_oct","scor_aug_oct","pret_noi","nume_noi","scor_aug_noi"
"544","cereale cu fulgi de cacao 500g viva","798 Lei","cereale pentru micul dejun  nestle"" - cutie carton""  225-350 g","836","cereale cu fulgi de cacao 500g viva",101,"391 Lei/bucata","cereale cu cacao viva 250g",89,"7.94 Lei/buc 15.88 kilogram","viva cereale 500g",100
"545","cereale cu ciocolata si vanilie nesquik 225g nestle","594 Lei","cereale pentru micul dejun  nestle"" - cutie carton""  225-350 g","603","cereale cu ciocolata si vanilie nesquik 225g nestle",101,"949 Lei/buc","cereale cu ciocolata nesquik 500g nestle",93,"949 Lei/buc","cereale cu ciocolata nesquik 500g nestle",93
"546","musli crocant cu banane vitalis 300g dr. oetker","909 Lei","musli vitalis (cutie 300 g)  ","897","musli crocant cu banane vitalis 300g dr. oetker",101,"879 Lei/buc","musli crocant cu banane vitalis 300g dr. oetker",101,"879 Lei/buc","musli crocant cu banane vitalis 300g dr. oetker",101
"547","cereale cu ciocolata chocapic 250g nestle","555 Lei","cereale pentru micul dejun  nestle"" - cutie carton""  225-350 g","659","cereale cu ciocolata chocapic 250g nestle",101,"570 Lei/buc","cereale cu ciocolata chocapic 250g nestle",101,"570 Lei/buc","cereale cu ciocolata chocapic 250g nestle",101
"548","musli cu fructe vitalis 300g dr. oetker","964 Lei","musli vitalis (cutie 300 g)  ","965","musli cu fructe vitalis 300g dr. oetker",101,"900 Lei/bucata","musli cu fructe dr. oetker vitalis 300g",100,"840 Lei/bucata","musli cu fructe dr. oetker vitalis 300g",100
"549","praline cu coniac si suc de cirese 150g madame pompadour","657 Lei","bomboane de ciocolata la cutie  (150-200 g) ","730","praline cu coniac si suc de cirese 150g madame pompadour",101,"680 Lei/buc","praline cu coniac si suc de cirese 150g madame pompadour",101,"680 Lei/buc","praline cu coniac si suc de cirese 150g madame pompadour",101
"550","trufe belgiene cu cafea 175g bianca","1049 Lei","bomboane de ciocolata la cutie  (150-200 g) ","1109","trufe belgiene cu cafea 175g bianca",101,"1049 Lei/buc","trufe belgiene cu portocale 175g bianca",91,"1049 Lei/buc","trufe belgiene cu portocale 175g bianca",91
"551","praline black excelcium 180g hamlet","952 Lei","bomboane de ciocolata la cutie  (150-200 g) ","2292 Lei/bucata","praline clasic lindt 125g",60,"889 Lei/buc","praline black excelcium 180g hamlet",101,"889 Lei/buc","praline black excelcium 180g hamlet",101
"552","praline ciocolata amaruie cu umplutura de cirese&lichior olia boero 155g rovelli","1199 Lei","bomboane de ciocolata la cutie  (150-200 g) ","1259","praline ciocolata amaruie cu umplutura de cirese&lichior olia boero 155g rovelli",101,"1199 Lei/buc","praline ciocolata amaruie cu umplutura de cirese&lichior olia boero 155g rovelli",101,"1199 Lei/buc","praline ciocolata amaruie cu umplutura de cirese&lichior olia boero 155g rovelli",101
"553","praline ciocolata cu lapte olia cappuccino 160g rovelli","1199 Lei","bomboane de ciocolata la cutie  (150-200 g) ","1259","praline ciocolata cu lapte olia cappuccino 160g rovelli",101,"1199 Lei/buc","praline ciocolata cu lapte olia cappuccino 160g rovelli",101,"1199 Lei/buc","praline ciocolata cu lapte olia cappuccino 160g rovelli",101
"554","praline de ciocolata cu alune caramelizate moments 142g heidi","1492 Lei","bomboane de ciocolata la cutie  (150-200 g) ","1807","praline de ciocolata cu alune caramelizate moments 142g heidi",101,"1500 Lei/bucata","praline din ciocolata cu lapte si alune de padure heidi moments 142g",88,"1500 Lei/bucata","praline din ciocolata cu lapte si alune de padure heidi moments 142g",88
"555","praline dark & cherry bouquete 120g heidi","1036 Lei","bomboane de ciocolata la cutie  (150-200 g) ","1123","praline dark & cherry bouquete 120g heidi",101,"1036 Lei/buc","praline dark & cherry bouquete 120g heidi",101,"1036 Lei/buc","praline dark & cherry bouquete 120g heidi",101
"556","praline din ciocolata amaruie cu cirese cherry bouquete 155g heidi","1255 Lei","bomboane de ciocolata la cutie  (150-200 g) ","1294","praline din ciocolata amaruie cu cirese cherry bouquete 155g heidi",101,"1288 Lei/buc","praline din ciocolata amaruie cu cirese cherry bouquete 155g heidi",101,"1288 Lei/buc","praline din ciocolata amaruie cu cirese cherry bouquete 155g heidi",101
"557","praline de ciocolata cu fructe si alune signature 180g heidi","2730 Lei","bomboane de ciocolata la cutie  (150-200 g) ","2777","praline de ciocolata cu fructe si alune signature 180g heidi",101,"455 Lei/bucata","joe ciocolata 180g",88,"455 Lei/bucata","joe ciocolata 180g",88
"558","praline de ciocolata amaruie cu cirese moments 150g heidi","1450 Lei","bomboane de ciocolata la cutie  (150-200 g) ","1671","praline de ciocolata amaruie cu cirese moments 150g heidi",101,"1500 Lei/bucata","praline din ciocolata amaruie cu cirese heidi moments 150g",97,"1500 Lei/bucata","praline din ciocolata amaruie cu cirese heidi moments 150g",97
"559","praline de ciocolata thank you 150g milka","1079 Lei","bomboane de ciocolata la cutie  (150-200 g) ","1501","praline de ciocolata thank you 150g milka",101,"1441 Lei/buc","praline de ciocolata thank you 150g milka",101,"1441 Lei/buc","praline de ciocolata thank you 150g milka",101
"560","praline cu varietati de lichior liqueurs de france 155g abtey","3999 Lei","bomboane de ciocolata la cutie  (150-200 g) ","4059","praline cu varietati de lichior liqueurs de france 155g abtey",101,"3676 Lei/buc","praline cu cirese in lichior 290g magnat",62,"3676 Lei/buc","praline cu cirese in lichior 290g magnat",62
"561","praline red excelcium 180g hamlet","1099 Lei","bomboane de ciocolata la cutie  (150-200 g) ","220 Lei/bucata","pate de porc hame 80g",59,"24.46 Lei/buc 142.21 kilogram","praline ferrero collection 172g",59,"20.06 Lei/buc 111.44 kilogram","elmas migdale prajite 180g",58
"562","bautura racoritoare carbogazoasa 2 sticle 2x2l coca-cola","800 Lei","coca-cola (sticla din plastic  de 2000 ml) ","860","bautura racoritoare carbogazoasa 2 sticle 2x2l coca-cola",101,"813 Lei/buc","bautura racoritoare carbogazoasa 2 sticle 2x2l coca-cola",101,"813 Lei/buc","bautura racoritoare carbogazoasa 2 sticle 2x2l coca-cola",101
"563","bautura racoritoare carbogazoasa 2 bucati 2x2.25l pepsi","839 Lei","pepsi-cola (sticla din plastic  de 1250 ml) ","899","bautura racoritoare carbogazoasa 2 bucati 2x2.25l pepsi",101,"499 Lei/buc","bautura racoritoare carbogazoasa max 2.5l pepsi",92,"450 Lei/bucata","bautura racoritoare carbogazoasa 7up 2.25l",95
"564","bautura racoritoare carbogazoasa zero 2l coca-cola","473 Lei","coca-cola (sticla din plastic  de 2000 ml) ","549","bautura racoritoare carbogazoasa zero 2l coca-cola",101,"478 Lei/buc","bautura racoritoare carbogazoasa zero 2l coca-cola",101,"478 Lei/buc","bautura racoritoare carbogazoasa zero 2l coca-cola",101
"565","bautura racoritoare carbogazoasa 2.5l pepsi","542 Lei","pepsi-cola (sticla din plastic  de 1250 ml) ","592","bautura racoritoare carbogazoasa 2.5l pepsi",101,"499 Lei/buc","bautura racoritoare carbogazoasa 2.5l pepsi",101,"499 Lei/buc","bautura racoritoare carbogazoasa 2.5l pepsi",101
"566","bautura racoritoare carbogazoasa twist lemon 2 bucati x2.25l pepsi","873 Lei","pepsi-cola (sticla din plastic  de 1250 ml) ","933","bautura racoritoare carbogazoasa twist lemon 2 bucati x2.25l pepsi",101,"499 Lei/buc","bautura racoritoare carbogazoasa max 2.5l pepsi",92,"401 Lei/bucata","pepsi twist 2.25l",100
"567","bautura racoritoare necarbogazoasa cu aroma de lamaie 0.5l nestea","293 Lei","bautura racoritoare,  neacidulata, tip prigat  (500 ml)","341","bautura racoritoare necarbogazoasa cu aroma de lamaie 0.5l nestea",101,"429 Lei/buc","bautura racoritoare necarbogazoasa cu aroma de lamaie 1.5l nestea",98,"429 Lei/buc","bautura racoritoare necarbogazoasa cu aroma de lamaie 1.5l nestea",98
"568","bautura racoritoare carbogazoasa cu suc de grapefruit roz 2.5l frutti fresh","503 Lei","frutti fresh (sticla plastic  de 500 ml) ","405 Lei/bucata","bautura racoritoare carbogazoasa cu aroma de grapefruit roz frutti fresh 2l",94,"569 Lei/buc","bautura racoritoare carbogazoasa 2.5l sprite",91,"378 Lei/bucata","bautura racoritoare carbogazoasa cu aroma de grapefruit roz frutti fresh 2l",94
"569","bautura racoritoare necarbogazoasa cu aroma de piersica 0.5l nestea","285 Lei","pepsi-cola (sticla din plastic  de 1250 ml) ","485","bautura racoritoare necarbogazoasa cu aroma de piersica 1.5l nestea",99,"429 Lei/buc","bautura racoritoare necarbogazoasa cu aroma de piersica 1.5l nestea",99,"429 Lei/buc","bautura racoritoare necarbogazoasa cu aroma de piersica 1.5l nestea",99
"570","bautura racoritoare carbogazoasa light 2.5l pepsi","589 Lei","pepsi-cola (sticla din plastic  de 1250 ml) ","642","bautura racoritoare carbogazoasa light 2.5l pepsi",101,"499 Lei/buc","bautura racoritoare carbogazoasa light 2.5l pepsi",101,"499 Lei/buc","bautura racoritoare carbogazoasa light 2.5l pepsi",101
"571","bautura racoritoare necarbonatata cu aroma de zmeura ice tea 1.5l lipton","466 Lei","ice tea (sticla plastic de  1500 ml) ","429","bautura racoritoare necarbonatata cu aroma de zmeura ice tea 1.5l lipton",101,"4.22 Lei/buc 2.81 litru","lipton ice tea cu zmeura 1,5l",100,"424 Lei/bucata","lipton ice tea zmeura 1.5l",100
"572","bautura racoritoare carbogazoasa cu lime 2l coca-cola","483 Lei","coca-cola (sticla din plastic  de 2000 ml) ","435 Lei/bucata","bautura racoritoare carbogazoasa coca cola 2l",100,"1194 Lei/buc","bautura racoritoare carbogazoasa cu suc de lime 6 doze 6x0.33l coca-cola",97,"425 Lei/bucata","bautura racoritoare carbogazoasa coca-cola lime 2l",100
"573","bautura racoritoare necarbonatata cu aroma de ceai verde ice tea 1.5l lipton","437 Lei","ice tea (sticla plastic de  1500 ml) ","435 Lei/bucata","lipton ice tea ceai verde 1.5l",100,"4.22 Lei/buc 2.81 litru","lipton ice tea cu ceai verde 1,5l",100,"424 Lei/bucata","lipton ice tea ceai verde 1.5l",100
"574","bautura racoritoare necarbonatata cu aroma de lamaie ice tea 1.5l lipton","437 Lei","ice tea (sticla plastic de  1500 ml) ","435 Lei/bucata","lipton ice tea lamaie 1.5l",100,"4.45 4.22 Lei/buc 2.81 litru","lipton ice tea cu lamaie 1,5l",100,"424 Lei/bucata","lipton ice tea lamaie 1.5l",100
"575","bere blonda 2.5l ciucas","619 Lei","bere blonda (sticla plastic  2-2,5 l) ","744","bere blonda 2.5l ciucas",101,"714 Lei/buc","bere blonda 2.5l ciucas",101,"714 Lei/buc","bere blonda 2.5l ciucas",101
"576","bere pils 0.5l 365","164 Lei","bere la cutie de 500 ml  ","224","bere pils 0.5l 365",101,"164 Lei/buc","bere pils 0.5l 365",101,"164 Lei/buc","bere pils 0.5l 365",101
"577","bere blonda fara alcool 0.5l bergenbier","228 Lei","bere fara alcool (cutie de 500  ml) ","288","bere blonda fara alcool 0.5l bergenbier",101,"254 Lei/buc","bere blonda fara alcool 0.5l bergenbier",101,"254 Lei/buc","bere blonda fara alcool 0.5l bergenbier",101
"578","bere neagra 0.5l silva","359 Lei","bere la cutie de 500 ml  ","459","bere neagra 0.5l silva",101,"365 Lei/buc","bere neagra 0.5l silva",101,"365 Lei/buc","bere neagra 0.5l silva",101
"579","bere fara alcool cooler 0.5l ursus","285 Lei","bere fara alcool (cutie de 500  ml) ","354","bere fara alcool cooler 0.5l ursus",101,"274 Lei/buc","bere fara alcool 0.5l ursus",100,"274 Lei/buc","bere fara alcool 0.5l ursus",100
"580","bere 2.25l timisoreana","609 Lei","bere blonda (sticla plastic  2-2,5 l) ","734","bere 2.25l timisoreana",101,"699 Lei/buc","bere 2.25l timisoreana",101,"699 Lei/buc","bere 2.25l timisoreana",101
"581","bere blonda 2.5l bucegi","724 Lei","bere blonda (sticla plastic  2-2,5 l) ","639","bere blonda 2.5l bucegi",101,"724 Lei/buc","bere blonda 2.5l bucegi",101,"724 Lei/buc","bere blonda 2.5l bucegi",101
"582","bere blonda 2l 365","450 Lei","bere blonda (sticla plastic  2-2,5 l) ","510","bere blonda 2l 365",101,"404 Lei/buc","bere blonda 1l ursus",76,"629 Lei/bucata","bere blonda bergenbier 2.2l",88
"583","bere pet 2.5l skol","599 Lei","bere blonda (sticla plastic  2-2,5 l) ","569 Lei/bucata","bere skol 2l",86,"599 Lei/buc","bere 2.5l skol",100,"599 Lei/buc","bere 2.5l skol",100
"584","bere blonda premium 2.5l albacher","614 Lei","bere blonda (sticla plastic  2-2,5 l) ","674","bere blonda premium 2.5l albacher",101,"614 Lei/buc","bere blonda premium 2.5l albacher",101,"614 Lei/buc","bere blonda premium 2.5l albacher",101
"585","bere fara alcool natur radler natur radler 0.5l ciuc","287 Lei","bere fara alcool (cutie de 500  ml) ","1.86 Lei/buc 5.64 litru","bere blonda cu limonada fara alcool ciuc natur radler 0.33l",96,"289 Lei/buc","bere fara alcool natur radler natur radler 0.5l ciuc",101,"289 Lei/buc","bere fara alcool natur radler natur radler 0.5l ciuc",101
"586","bere 2.2l bergenbier","629 Lei","bere blonda (sticla plastic  2-2,5 l) ","689","bere 2.2l bergenbier",101,"629 Lei/buc","bere 2.2l bergenbier",101,"629 Lei/buc","bere 2.2l bergenbier",101
"587","bere blonda 0.5l bergenbier","247 Lei","bere la cutie de 500 ml  ","307","bere blonda 0.5l bergenbier",101,"183 Lei/buc","bere blonda 0.33l bergenbier",95,"235 Lei/bucata","bere blonda bergenbier 0.5l",100
"588","bere blonda 0.5l silva","331 Lei","bere la cutie de 500 ml  ","419","bere blonda 0.5l silva",101,"314 Lei/buc","bere blonda 0.5l beck's",84,"260 Lei/bucata","bere blonda silva 0.5l",100
"589","bere bruna 0.5l ursus","347 Lei","bere la cutie de 500 ml  ","389","bere bruna 0.5l ursus",101,"274 Lei/buc","bere fara alcool 0.5l ursus",83,"261 Lei/bucata","bere blonda ursus 0.5l",88
"590","bere blonda 0.5l albacher","196 Lei","bere la cutie de 500 ml  ","256","bere blonda 0.5l albacher",101,"2094 Lei/buc","bere blonda 6x0.5l carlsberg",83,"219 Lei/bucata","bere blonda albacher 0.5l",100
"591","bere 0.5l stejar","285 Lei","bere la cutie de 500 ml  ","2.61 Lei/buc 5.22 litru","stejar bere blonda 0.5l",100,"314 Lei/buc","bere blonda 0.5l beck's",72,"272 Lei/bucata","bere stejarii 0.5l",94
"592","bere blonda la sticla 0.5l zimbru","213 Lei","bere blonda, pasteurizata -  indigena (sticla de 500 ml,  exclusiv sticla)","273","bere blonda la sticla 0.5l zimbru",101,"314 Lei/buc","bere blonda 0.5l beck's",82,"446 Lei/bucata","bere blonda dab 0.5l",89
"593","bere blonda fara alcool 0.5l golden brau","273 Lei","bere fara alcool (cutie de 500  ml) ","2.50 Lei/buc 5.00 litru","bere blonda fara alcool golden brau 0.5l",100,"274 Lei/buc","bere fara alcool 0.5l ursus",88,"266 Lei/bucata","bere fara alcool golden brau 0.5l",100
"594","struguri albi (vrac)","499 Lei","struguri de masa  ","1359","struguri roz (vrac)",87,"799 Lei/Kg","struguri albi (vrac)",101,"799 Lei/Kg","struguri albi (vrac)",101
"595","banane kg (vrac)","399 Lei","banane  ","609","banane kg (vrac)",101,"449 Lei/Kg","banane kg (vrac)",101,"449 Lei/Kg","banane kg (vrac)",101
"596","lamai kg (vrac)","899 Lei","lamii  ","859","lamai kg (vrac)",101,"599 Lei/Kg","lamai kg (vrac)",101,"599 Lei/Kg","lamai kg (vrac)",101
"597","piersici kg (vrac)","399 Lei","piersici  ","459","piersici kg (vrac)",101,"1499 Lei/Kg","limes kg (vrac)",76,"599 Lei/kg","piersici plate import per kg",81
"598","mere rosii (vrac)","399 Lei","mere  ","419","mere rosii (vrac)",101,"2799 Lei/Kg","rosii cherry kg (vrac)",80,"2799 Lei/Kg","rosii cherry kg (vrac)",80
"599","portocale kg (vrac)","649 Lei","portocale  ","559","portocale kg (vrac)",101,"699 Lei/Kg","portocale kg (vrac)",101,"699 Lei/Kg","portocale kg (vrac)",101
"600","struguri albi fara samburi (vrac)","599 Lei","struguri de masa  ","1459","struguri albi fara samburi (vrac)",101,"739 Lei/Kg","struguri albi fara samburi (vrac)",101,"739 Lei/Kg","struguri albi fara samburi (vrac)",101
"601","portocale 1kg (produs ambalat)","599 Lei","portocale  ","459","portocale 1kg (produs ambalat)",101,"8.49 Lei/buc 8.49 kilogram","portocale 1kg",100,"599 Lei/bucata","portocale 1kg",100
"602","kiwi (vrac)","1199 Lei","kiwi  ","1059","kiwi (vrac)",101,"599 Lei/Kg","kiwi (vrac)",101,"599 Lei/Kg","kiwi (vrac)",101
"603","struguri negri kg (vrac)","799 Lei","struguri de masa  ","1359","struguri roz (vrac)",87,"499 Lei/Kg","struguri negri kg (vrac)",101,"499 Lei/Kg","struguri negri kg (vrac)",101
"604","struguri roze (vrac)","999 Lei","struguri de masa  ","12.99 Lei/kilogram","struguri roze",100,"799 Lei/Kg","struguri roze (vrac)",101,"799 Lei/Kg","struguri roze (vrac)",101
"605","mandarine (vrac)","999 Lei","mandarine  ","959","mandarine (vrac)",101,"4.99 3.79 Lei/kilogram","mandarine kg",86,"4.99 3.79 Lei/kilogram","mandarine kg",86
"606","grapefruit rosu kg (vrac)","799 Lei","grapefruit  ","859","grapefruit rosu kg (vrac)",101,"499 Lei/Kg","grapefruit rosu kg (vrac)",101,"499 Lei/Kg","grapefruit rosu kg (vrac)",101
"607","piersici paraguayos (vrac)","599 Lei","piersici  ","19.99 Lei/kilogram","piersici romania",67,"4.39 Lei/buc 2.20 litru","ciao piersici 2l",67,"599 Lei/Kg","rodii (vrac)",57
"608","grapefruit alb (vrac)","799 Lei","grapefruit  ","1059","grapefruit alb (vrac)",101,"4.38 Lei/buc 2.19 litru","ciao grapefruit rosu 2l",69,"415 Lei/bucata","bautura necarbonatata grapefruit alb si portocale tymbark 1.5l",85
"609","rosii kg gusturi romanesti","329 Lei","tomate (rosii) de cimp  ","1959","fca de porc kg gusturi romanesti",87,"799 Lei/Kg","pere rosii kg gusturi romanesti",100,"799 Lei/Kg","pere rosii kg gusturi romanesti",100
"610","ardei gras rosu (vrac)","1099 Lei","ardei gras, de cimp  ","1159","ardei gras rosu (vrac)",101,"999 Lei/Kg","ardei gras rosu (vrac)",101,"999 Lei/Kg","ardei gras rosu (vrac)",101
"611","ardei gras bianca kg gusturi romanesti","299 Lei","ardei gras, de cimp  ","1959","fca de porc kg gusturi romanesti",80,"509 Lei/Kg","ardei gras bianca kg gusturi romanesti",101,"509 Lei/Kg","ardei gras bianca kg gusturi romanesti",101
"612","cartofi albi 2.5kg 365","299 Lei","cartofi timpurii si de vara  ","659","cartofi noi 2.5kg 365",89,"299 Lei/buc","cartofi albi 2.5kg 365",101,"299 Lei/buc","cartofi albi 2.5kg 365",101
"613","morcovi kg (vrac)","159 Lei","morcovi  ","249","morcovi kg (vrac)",101,"159 Lei/Kg","morcovi kg gusturi romanesti",80,"169 Lei/kg","morcovi romania per kg",80
"614","castraveti cornison kg gusturi romanesti","279 Lei","castraveti proaspeti, de cimp  ","1959","fca de porc kg gusturi romanesti",77,"449 Lei/Kg","castraveti cornison kg gusturi romanesti",101,"449 Lei/Kg","castraveti cornison kg gusturi romanesti",101
"615","ceapa galbena 2kg 365","299 Lei","ceapa uscata  ","399","ceapa galbena 2kg 365",101,"349 Lei/buc","ceapa galbena 2kg 365",101,"349 Lei/buc","ceapa galbena 2kg 365",101
"616","varza alba kg (vrac)","119 Lei","varza alba dulce, de toamna  ","209","varza alba kg (vrac)",101,"129 Lei/Kg","varza alba kg (vrac)",101,"129 Lei/Kg","varza alba kg (vrac)",101
"617","ciuperci champignon brune 500g (produs ambalat)","549 Lei","ciuperci champignon"" (de""  cultura) ","589","ciuperci champignon brune 500g (produs ambalat)",101,"5.49 Lei/buc 10.98 kilogram","ciuperci champignon brune 500g",100,"599 Lei/bucata","ciuperci champignon brune 500g",100
"618","cartofi rosii 2.5kg 365","349 Lei","cartofi timpurii si de vara  ","659","cartofi noi 2.5kg 365",91,"329 Lei/buc","cartofi rosii 2.5kg 365",101,"329 Lei/buc","cartofi rosii 2.5kg 365",101
"619","sfecla rosie kg (vrac)","149 Lei","sfecla rosie  ","179","sfecla rosie kg (vrac)",101,"119 Lei/Kg","sfecla rosie kg (vrac)",101,"119 Lei/Kg","sfecla rosie kg (vrac)",101
"620","salata iceberg 250g 365","649 Lei","salata verde, de cimp  ","759","salata iceberg 250g 365",101,"699 Lei/buc","salata iceberg 250g 365",101,"699 Lei/buc","salata iceberg 250g 365",101
"621","porumb dulce fiert 450g (produs ambalat)","699 Lei","porumb boabe (cutie 250-425 g)  ","759","porumb dulce fiert 450g (produs ambalat)",101,"699 Lei/buc","porumb dulce fiert 450g (produs ambalat)",101,"699 Lei/buc","porumb dulce fiert 450g (produs ambalat)",101
"622","castraveti fabio kg (vrac)","649 Lei","castraveti proaspeti, de cimp  ","559","castraveti fabio kg (vrac)",101,"","castraveti fabio kg (vrac)",101,"","castraveti fabio kg (vrac)",101
"623","morcov 1kg (produs ambalat)","199 Lei","morcovi  ","1159","portocale eco 1kg (produs ambalat)",84,"199 Lei/buc","morcov 1kg (produs ambalat)",101,"199 Lei/buc","morcov 1kg (produs ambalat)",101
"624","ciuperci champignon 500g 365","499 Lei","ciuperci champignon"" (de""  cultura) ","559","ciuperci champignon 500g 365",101,"499 Lei/buc","ciuperci champignon 500g 365",101,"499 Lei/buc","ciuperci champignon 500g 365",101
"625","ciuperci champignon 1kg 365","999 Lei","ciuperci champignon"" (de""  cultura) ","1059","ciuperci champignon 1kg 365",101,"9.99 Lei/buc 9.99 kilogram","ciuperci champignon 1kg",100,"9.99 Lei/buc 9.99 kilogram","ciuperci champignon 1kg",100
"626","cartofi 5kg 365","1949 Lei","cartofi timpurii si de vara  ","659","cartofi noi 2.5kg 365",100,"1999 Lei/buc","cartofi 5kg 365",101,"1999 Lei/buc","cartofi 5kg 365",101
"627","ardei gras galben kg (vrac)","1299 Lei","ardei gras, de cimp  ","1359","ardei gras galben kg (vrac)",101,"699 Lei/Kg","pepene galben (vrac)",76,"699 Lei/Kg","pepene galben (vrac)",76
"628","fasole uscata alba calitatea1 kg (vrac)","699 Lei","fasole uscata  ","659","fasole uscata alba calitatea1 kg (vrac)",101,"699 Lei/Kg","fasole uscata alba calitatea1 kg (vrac)",101,"699 Lei/Kg","fasole uscata alba calitatea1 kg (vrac)",101
"629","lapte consum 3.5% grasime 1l napolact","524 Lei","lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""","525","lapte consum 3.5% grasime 1l napolact",101,"524 Lei/buc","lapte consum 3.5% grasime 1l napolact",101,"524 Lei/buc","lapte consum 3.5% grasime 1l napolact",101
"630","lapte uht 3.5% grasime 1l ladorna","431 Lei","lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""","539","lapte uht 3.5% grasime 1l ladorna",101,"484 Lei/buc","lapte uht 3.5% grasime 1l ladorna",101,"484 Lei/buc","lapte uht 3.5% grasime 1l ladorna",101
"631","lapte uht 1.5% grasime 1l 365","249 Lei","lapte de vaca, degresat  (1,5-1,8%) ","309","lapte uht 1.5% grasime 1l 365",101,"249 Lei/buc","lapte uht 1.5% grasime 1l 365",101,"249 Lei/buc","lapte uht 1.5% grasime 1l 365",101
"632","lapte uht 1.5% grasime 1l ladorna","479 Lei","lapte de vaca, degresat  (1,5-1,8%) ","519","lapte uht 1.5% grasime 1l ladorna",101,"459 Lei/buc","lapte uht 1.5% grasime 1l ladorna",101,"459 Lei/buc","lapte uht 1.5% grasime 1l ladorna",101
"633","lapte de consum semidegresat 1.5% grasime 1l zuzu","434 Lei","lapte de vaca, degresat  (1,5-1,8%) ","494","lapte de consum semidegresat 1.5% grasime 1l zuzu",101,"437 Lei/buc","lapte de consum semidegresat 1.5% grasime 1l zuzu",101,"437 Lei/buc","lapte de consum semidegresat 1.5% grasime 1l zuzu",101
"634","lapte consum 1.5% grasime 1l napolact","497 Lei","lapte de vaca, degresat  (1,5-1,8%) ","543","lapte consum 1.5% grasime 1l napolact",101,"485 Lei/buc","lapte consum 1.5% grasime 1l napolact",101,"485 Lei/buc","lapte consum 1.5% grasime 1l napolact",101
"635","lapte de consum integral 3.5% grasime 1l zuzu","493 Lei","lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""","553","lapte de consum integral 3.5% grasime 1l zuzu",101,"489 Lei/buc","lapte de consum integral 3.5% grasime 1l zuzu",101,"489 Lei/buc","lapte de consum integral 3.5% grasime 1l zuzu",101
"636","lapte uht 3.5% grasime 1l 365","419 Lei","lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""","469","lapte uht 3.5% grasime 1l 365",101,"389 Lei/buc","lapte uht 3.5% grasime 1l 365",101,"389 Lei/buc","lapte uht 3.5% grasime 1l 365",101
"637","lapte de consum 3.5% grasime oly 1l olympus","461 Lei","lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""","521","lapte de consum 3.5% grasime oly 1l olympus",101,"475 Lei/buc","lapte de consum 3.5% grasime oly 1l olympus",101,"475 Lei/buc","lapte de consum 3.5% grasime oly 1l olympus",101
"638","lapte uht 0.1% grasime 1l ladorna","484 Lei","lapte 0,1% grasime (cutie  carton) ","544","lapte uht 0.1% grasime 1l ladorna",101,"512 Lei/buc","lapte uht 0.1% grasime 1l ladorna",101,"512 Lei/buc","lapte uht 0.1% grasime 1l ladorna",101
"639","lapte de consum cu 0.1% grasime 1l zuzu","447 Lei","lapte 0,1% grasime (cutie  carton) ","507","lapte de consum cu 0.1% grasime 1l zuzu",101,"474 Lei/buc","lapte de consum cu 0.1% grasime 1l zuzu",101,"474 Lei/buc","lapte de consum cu 0.1% grasime 1l zuzu",101
"640","lapte eco uht 3.5% grasime 1l ladorna","719 Lei","lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""","779","lapte eco uht 3.5% grasime 1l ladorna",101,"649 Lei/buc","lapte eco uht 3.5% grasime 1l ladorna",101,"649 Lei/buc","lapte eco uht 3.5% grasime 1l ladorna",101
"641","lapte uht 1.5% grasime 1l muller","499 Lei","lapte de vaca, degresat  (1,5-1,8%) ","559","lapte uht 1.5% grasime 1l muller",101,"550 Lei/buc","lapte uht 1.5% grasime 1l muller",101,"550 Lei/buc","lapte uht 1.5% grasime 1l muller",101
"642","lapte uht 3.5% grasime 1l muller","539 Lei","lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""","599","lapte uht 3.5% grasime 1l muller",101,"578 Lei/buc","lapte uht 3.5% grasime 1l muller",101,"578 Lei/buc","lapte uht 3.5% grasime 1l muller",101
"643","lapte de consum 1.5% grasime oly 1l olympus","339 Lei","lapte de vaca, degresat  (1,5-1,8%) ","486","lapte de consum 1.5% grasime oly 1l olympus",101,"449 Lei/buc","lapte de consum 1.5% grasime oly 1l olympus",101,"449 Lei/buc","lapte de consum 1.5% grasime oly 1l olympus",101
"644","lapte semidegresat uht 1.5% grasime 1l fulga","469 Lei","lapte de vaca, degresat  (1,5-1,8%) ","529","lapte semidegresat uht 1.5% grasime 1l fulga",101,"439 Lei/bucata","lapte uht semidegresat fulga 1.5% grasime 1l",100,"439 Lei/bucata","lapte uht semidegresat fulga 1.5% grasime 1l",100
"645","lapte consum 1.5% grasime 1l ladorna","429 Lei","lapte de vaca, degresat  (1,5-1,8%) ","469","lapte consum 1.5% grasime 1l ladorna",101,"469 Lei/buc","lapte de consum cu 1.5% grasime 1l ladorna",100,"469 Lei/buc","lapte de consum cu 1.5% grasime 1l ladorna",100
